"trial_id","criterion_type","ad_domain","clinical_concept","operator","value_lower","value_upper","units","diagnostic_framework","severity_stage","source_sentence","temporal_scope","evidence_type","certainty"
"NCT02477800","exclusion","safety_labs","Safety labs/organ function","history/presence of","NA","NA","NA","NA","NA","Clinically significant unstable psychiatric illness in past 6 months","NA","lab_test","must not"
"NCT02477800","exclusion","demographics","Age","history/presence of","NA","NA","NA","NA","NA","History of unstable angina, myocardial infarction, advanced chronic heart failure, or clinically significant conduction abnormalities within 1 year prior to Screening","prior to screening","NA","must not"
"NCT02477800","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Indication of impaired renal or liver function","NA","lab_test","must not"
"NCT02477800","exclusion","comorbidities","HIV infection","NA","NA","NA","NA","NA","NA","Have human immunodeficiency virus (HIV) infection","NA","lab_test","must not"
"NCT02477800","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Have a significant systematic illness or infection in past 30 days","NA","lab_test","must not"
"NCT02477800","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Have a significant systematic illness or infection in past 30 days","NA","lab_test","must not"
"NCT02477800","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Relevant brain hemorrhage, bleeding disorder and cerebrovascular abnormalities","NA","NA","must not"
"NCT02477800","exclusion","imaging","Brain MRI","absent","NA","NA","NA","NA","NA","Any contraindications to brain magnetic resonance imaging (MRI) or PET scans","NA","MRI","must not"
"NCT02477800","exclusion","imaging","PET imaging","NA","NA","NA","NA","NA","NA","Any contraindications to brain magnetic resonance imaging (MRI) or PET scans","NA","PET","must not"
"NCT02477800","exclusion","lifestyle","Alcohol/substance use","NA","NA","NA","NA","NA","NA","Alcohol or substance abuse in past 1 year","NA","questionnaire","must not"
"NCT02477800","exclusion","demographics","Age","NA","NA","NA","NA","NA","NA","Alcohol or substance abuse in past 1 year","NA","NA","must not"
"NCT02477800","exclusion","medications","Anticoagulant/antiplatelet use","NA","NA","NA","NA","NA","NA","Taking blood thinners (except for aspirin at a prophylactic dose or less)","NA","NA","must not"
"NCT02477800","exclusion","other","NA","NA","NA","NA","NA","NA","NA","NOTE: Other protocol defined Inclusion/Exclusion criteria may apply","NA","NA","may"
"NCT02484547","inclusion","other","MCI diagnosis","NA","NA","NA","NA","NA","MCI due to AD","Must meet all of the following clinical criteria for MCI due to AD or mild AD and must have:","NA","clinical_exam","must"
"NCT02484547","inclusion","global_impairment","CDR global score","NA","NA","NA","NA","NA","NA","A Clinical Dementia Rating (CDR)-Global Score of 0.5.","NA","clinical_exam","must"
"NCT02484547","inclusion","cognition","Objective cognitive impairment","NA","NA","NA","NA","NA","NA","Objective evidence of cognitive impairment at screening","at screening","cognitive_test","must"
"NCT02484547","inclusion","cognition","MMSE","between","24","30","score","NA","NA","An MMSE score between 24 and 30 (inclusive)","NA","cognitive_test","must"
"NCT02484547","inclusion","imaging","Amyloid PET","positive","NA","NA","NA","NA","NA","Must have a positive amyloid Positron Emission Tomography (PET) scan","NA","PET","must"
"NCT02484547","inclusion","genetics","APOE genotype","consent to","NA","NA","NA","NA","NA","Must consent to apolipoprotein E (ApoE) genotyping","NA","genetic_test","must"
"NCT02484547","inclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","If using drugs to treat symptoms related to AD, doses must be stable for at least 8 weeks prior to screening visit 1","prior to screening","lab_test","must"
"NCT02484547","inclusion","study_operations","Study partner","NA","NA","NA","NA","NA","NA","Must have a reliable informant or caregiver","NA","NA","must"
"NCT02484547","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Any medical or neurological condition (other than Alzheimer's Disease) that might be a contributing cause of the subject's cognitive impairment","NA","NA","must not"
"NCT02484547","exclusion","comorbidities","Stroke/TIA history","NA","NA","NA","NA","NA","NA","Have had a stroke or Transient Ischemic Attack (TIA) or unexplained loss of consciousness in the past 1 year","NA","clinical_exam","must not"
"NCT02484547","exclusion","comorbidities","Stroke/TIA history","NA","NA","NA","NA","NA","NA","Have had a stroke or Transient Ischemic Attack (TIA) or unexplained loss of consciousness in the past 1 year","NA","clinical_exam","must not"
"NCT02484547","exclusion","demographics","Age","NA","NA","NA","NA","NA","NA","Have had a stroke or Transient Ischemic Attack (TIA) or unexplained loss of consciousness in the past 1 year","NA","NA","must not"
"NCT02484547","exclusion","safety_labs","Safety labs/organ function","history/presence of","NA","NA","NA","NA","NA","Clinically significant unstable psychiatric illness in past 6 months","NA","lab_test","must not"
"NCT02484547","exclusion","demographics","Age","history/presence of","NA","NA","NA","NA","NA","History of unstable angina, myocardial infarction, advanced chronic heart failure, or clinically significant conduction abnormalities within 1 year prior to Screening","prior to screening","NA","must not"
"NCT02484547","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Indication of impaired renal or liver function","NA","lab_test","must not"
"NCT02484547","exclusion","comorbidities","HIV infection","NA","NA","NA","NA","NA","NA","Have human immunodeficiency virus (HIV) infection","NA","lab_test","must not"
"NCT02484547","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Have a significant systematic illness or infection in past 30 days","NA","lab_test","must not"
"NCT02484547","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Have a significant systematic illness or infection in past 30 days","NA","lab_test","must not"
"NCT02484547","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Relevant brain hemorrhage, bleeding disorder and cerebrovascular abnormalities","NA","NA","must not"
"NCT02484547","exclusion","imaging","Brain MRI","absent","NA","NA","NA","NA","NA","Any contraindications to brain magnetic resonance imaging (MRI) or PET scans","NA","MRI","must not"
"NCT02484547","exclusion","imaging","PET imaging","NA","NA","NA","NA","NA","NA","Any contraindications to brain magnetic resonance imaging (MRI) or PET scans","NA","PET","must not"
"NCT02484547","exclusion","lifestyle","Alcohol/substance use","NA","NA","NA","NA","NA","NA","Alcohol or substance abuse in past 1 year","NA","questionnaire","must not"
"NCT02484547","exclusion","demographics","Age","NA","NA","NA","NA","NA","NA","Alcohol or substance abuse in past 1 year","NA","NA","must not"
"NCT02484547","exclusion","medications","Anticoagulant/antiplatelet use","NA","NA","NA","NA","NA","NA","Taking blood thinners (except for aspirin at a prophylactic dose or less)","NA","NA","must not"
"NCT02484547","exclusion","other","NA","NA","NA","NA","NA","NA","NA","NOTE: Other protocol defined Inclusion/Exclusion criteria may apply","NA","NA","may"
"NCT03443973","inclusion","other","AD dementia diagnosis","NA","NA","NA","NA","NIA-AA","prodromal AD","Meets National Institute on Aging/Alzheimer's Association (NIAAA) core clinical criteria for probable AD dementia or prodromal AD (consistent with the NIAAA diagnostic criteria and guidelines for mild cognitive impairment)","NA","clinical_exam","must"
"NCT03443973","inclusion","other","MCI diagnosis","NA","NA","NA","NA","NIA-AA","prodromal AD","Meets National Institute on Aging/Alzheimer's Association (NIAAA) core clinical criteria for probable AD dementia or prodromal AD (consistent with the NIAAA diagnostic criteria and guidelines for mild cognitive impairment)","NA","clinical_exam","must"
"NCT03443973","inclusion","other","MCI diagnosis","NA","NA","NA","NA","NIA-AA","prodromal AD","Meets National Institute on Aging/Alzheimer's Association (NIAAA) core clinical criteria for probable AD dementia or prodromal AD (consistent with the NIAAA diagnostic criteria and guidelines for mild cognitive impairment)","NA","clinical_exam","must"
"NCT03443973","inclusion","imaging","Amyloid PET","positive","NA","NA","NA","NA","NA","Evidence of the AD pathological process, as confirmed by CSF tau/A-beta42or amyloid PET scan","NA","PET","must"
"NCT03443973","inclusion","other","NA","NA","NA","NA","NA","NA","NA","Demonstrated abnormal memory function","NA","NA","must"
"NCT03443973","inclusion","cognition","MMSE",">=","22","NA","score","NA","NA","MMSE score greater than or equal to 22 (≥ 22)","NA","cognitive_test","must"
"NCT03443973","inclusion","global_impairment","CDR global score","NA","NA","NA","NA","NA","NA","Clinical dementia rating-global score (CDR-GS) of 0.5 or 1.0","NA","clinical_exam","must"
"NCT03443973","inclusion","global_impairment","CDR global score","NA","NA","NA","NA","NA","NA","Clinical dementia rating-global score (CDR-GS) of 0.5 or 1.0","NA","clinical_exam","must"
"NCT03443973","inclusion","demographics","Age","able/willing","NA","NA","NA","NA","NA","Availability of a reliable study partner who accepts to participate in study procedures throughout the 2 years duration of study","NA","NA","must"
"NCT03443973","inclusion","medications","Concomitant AD medications","NA","NA","NA","NA","NA","NA","If receiving symptomatic AD medications, the dosing regimen must have been stable for 3 months prior to screening and until randomization","prior to screening","NA","must"
"NCT03443973","inclusion","other","NA","NA","NA","NA","NA","NA","NA","For enrollment in the China extension, patients must have residence in mainland China, Hong Kong, or Taiwan and be of Chinese ancestry","NA","NA","must"
